State,District,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,,,,,
08,099,DISTRICT,Ganganagar ,Rural,609,2989,1639,1350,527,298,229,1622,1002,620,1367,637,730,1343,889,454,995,774,221,185,134,51,367,265,102,2,1,1,441,374,67,348,115,233,39,5,34,212,89,123,4,0,4,93,21,72,285,105,180,28,4,24,183,82,101,2,0,2,72,19,53,63,10,53,11,1,10,29,7,22,2,0,2,21,2,19,1646,750,896,,,,,
08,099,DISTRICT,Ganganagar ,Urban,2020,10488,5521,4967,1554,837,717,5859,3566,2293,4629,1955,2674,3472,2858,614,2894,2507,387,9,8,1,87,58,29,16,14,2,2782,2427,355,578,351,227,0,0,0,30,15,15,5,2,3,543,334,209,502,328,174,0,0,0,27,15,12,2,2,0,473,311,162,76,23,53,0,0,0,3,0,3,3,0,3,70,23,47,7016,2663,4353,,,,,
08,100,DISTRICT,Hanumangarh,Total,2816,14289,7578,6711,2097,1146,951,7499,4569,2930,6790,3009,3781,5723,3945,1778,4438,3464,974,756,463,293,665,465,200,23,15,8,2994,2521,473,1285,481,804,127,36,91,314,83,231,18,3,15,826,359,467,1013,419,594,83,18,65,231,77,154,16,3,13,683,321,362,272,62,210,44,18,26,83,6,77,2,0,2,143,38,105,8566,3633,4933,,,,,
08,100,DISTRICT,Hanumangarh,Rural,1136,5717,3054,2663,926,506,420,2817,1753,1064,2900,1301,1599,2728,1602,1126,2059,1426,633,725,435,290,520,355,165,8,4,4,806,632,174,669,176,493,122,32,90,219,70,149,1,0,1,327,74,253,574,148,426,78,14,64,202,67,135,1,0,1,293,67,226,95,28,67,44,18,26,17,3,14,0,0,0,34,7,27,2989,1452,1537,,,,,
08,100,DISTRICT,Hanumangarh,Urban,1680,8572,4524,4048,1171,640,531,4682,2816,1866,3890,1708,2182,2995,2343,652,2379,2038,341,31,28,3,145,110,35,15,11,4,2188,1889,299,616,305,311,5,4,1,95,13,82,17,3,14,499,285,214,439,271,168,5,4,1,29,10,19,15,3,12,390,254,136,177,34,143,0,0,0,66,3,63,2,0,2,109,31,78,5577,2181,3396,,,,,
08,101,DISTRICT,Bikaner,Total,1415,7779,4207,3572,1242,678,564,4210,2639,1571,3569,1568,2001,3030,2100,930,2411,1834,577,603,388,215,408,254,154,16,11,5,1384,1181,203,619,266,353,201,61,140,226,85,141,15,4,11,177,116,61,483,215,268,147,45,102,185,69,116,10,3,7,141,98,43,136,51,85,54,16,38,41,16,25,5,1,4,36,18,18,4749,2107,2642,,,,,
08,101,DISTRICT,Bikaner,Rural,666,3782,2015,1767,719,393,326,1563,1011,552,2219,1004,1215,1781,1037,744,1306,865,441,583,373,210,380,231,149,13,10,3,330,251,79,475,172,303,188,55,133,190,66,124,11,3,8,86,48,38,358,132,226,134,39,95,158,55,103,6,2,4,60,36,24,117,40,77,54,16,38,32,11,21,5,1,4,26,12,14,2001,978,1023,,,,,
08,101,DISTRICT,Bikaner,Urban,749,3997,2192,1805,523,285,238,2647,1628,1019,1350,564,786,1249,1063,186,1105,969,136,20,15,5,28,23,5,3,1,2,1054,930,124,144,94,50,13,6,7,36,19,17,4,1,3,91,68,23,125,83,42,13,6,7,27,14,13,4,1,3,81,62,19,19,11,8,0,0,0,9,5,4,0,0,0,10,6,4,2748,1129,1619,,,,,
08,102,DISTRICT,Churu,Total,2069,11245,5903,5342,1600,861,739,6690,4095,2595,4555,1808,2747,4933,2908,2025,3443,2405,1038,1980,1176,804,220,164,56,13,5,8,1230,1060,170,1490,503,987,1099,300,799,227,100,127,13,3,10,151,100,51,1102,330,772,771,154,617,195,85,110,7,1,6,129,90,39,388,173,215,328,146,182,32,15,17,6,2,4,22,10,12,6312,2995,3317,,,,,
08,102,DISTRICT,Churu,Rural,1446,7644,4003,3641,1138,620,518,4305,2657,1648,3339,1346,1993,3858,2071,1787,2513,1646,867,1819,1077,742,164,116,48,9,4,5,521,449,72,1345,425,920,1047,288,759,207,88,119,10,3,7,81,46,35,969,258,711,724,145,579,177,73,104,4,1,3,64,39,25,376,167,209,323,143,180,30,15,15,6,2,4,17,7,10,3786,1932,1854,,,,,
08,102,DISTRICT,Churu,Urban,623,3601,1900,1701,462,241,221,2385,1438,947,1216,462,754,1075,837,238,930,759,171,161,99,62,56,48,8,4,1,3,709,611,98,145,78,67,52,12,40,20,12,8,3,0,3,70,54,16,133,72,61,47,9,38,18,12,6,3,0,3,65,51,14,12,6,6,5,3,2,2,0,2,0,0,0,5,3,2,2526,1063,1463,,,,,
08,103,DISTRICT,Jhunjhunun,Total,7708,41629,21380,20249,5681,3097,2584,25835,15727,10108,15794,5653,10141,17737,10319,7418,11299,8079,3220,5866,3649,2217,913,681,232,29,20,9,4491,3729,762,6438,2240,4198,4896,1437,3459,811,391,420,19,2,17,712,410,302,4359,1416,2943,3111,736,2375,622,316,306,15,1,14,611,363,248,2079,824,1255,1785,701,1084,189,75,114,4,1,3,101,47,54,23892,11061,12831,,,,,
08,103,DISTRICT,Jhunjhunun,Rural,6829,36862,18900,17962,5087,2758,2329,22568,13810,8758,14294,5090,9204,16457,9305,7152,10294,7203,3091,5774,3571,2203,878,651,227,27,18,9,3615,2963,652,6163,2102,4061,4814,1410,3404,732,348,384,17,2,15,600,342,258,4165,1305,2860,3057,718,2339,574,281,293,15,1,14,519,305,214,1998,797,1201,1757,692,1065,158,67,91,2,1,1,81,37,44,20405,9595,10810,,,,,
08,103,DISTRICT,Jhunjhunun,Urban,879,4767,2480,2287,594,339,255,3267,1917,1350,1500,563,937,1280,1014,266,1005,876,129,92,78,14,35,30,5,2,2,0,876,766,110,275,138,137,82,27,55,79,43,36,2,0,2,112,68,44,194,111,83,54,18,36,48,35,13,0,0,0,92,58,34,81,27,54,28,9,19,31,8,23,2,0,2,20,10,10,3487,1466,2021,,,,,
08,104,DISTRICT,Alwar,Total,50023,289249,153397,135852,42310,22530,19780,166481,108245,58236,122768,45152,77616,142224,76243,65981,95728,61548,34180,69463,41365,28098,4071,2115,1956,525,254,271,21669,17814,3855,46496,14695,31801,33274,10416,22858,6718,1993,4725,820,190,630,5684,2096,3588,33694,8205,25489,23410,5060,18350,5309,1466,3843,523,98,425,4452,1581,2871,12802,6490,6312,9864,5356,4508,1409,527,882,297,92,205,1232,515,717,147025,77154,69871,,,,,
08,104,DISTRICT,Alwar,Rural,45736,266880,141505,125375,39694,21121,18573,150417,98369,52048,116463,43136,73327,135333,71038,64295,89837,56704,33133,68896,41000,27896,3839,1933,1906,445,207,238,16657,13564,3093,45496,14334,31162,32968,10346,22622,6587,1945,4642,793,188,605,5148,1855,3293,32804,7889,24915,23123,5000,18123,5199,1425,3774,496,96,400,3986,1368,2618,12692,6445,6247,9845,5346,4499,1388,520,868,297,92,205,1162,487,675,131547,70467,61080,,,,,
08,104,DISTRICT,Alwar,Urban,4287,22369,11892,10477,2616,1409,1207,16064,9876,6188,6305,2016,4289,6891,5205,1686,5891,4844,1047,567,365,202,232,182,50,80,47,33,5012,4250,762,1000,361,639,306,70,236,131,48,83,27,2,25,536,241,295,890,316,574,287,60,227,110,41,69,27,2,25,466,213,253,110,45,65,19,10,9,21,7,14,0,0,0,70,28,42,15478,6687,8791,,,,,
08,105,DISTRICT,Bharatpur,Total,9276,54090,28705,25385,7235,3900,3335,34577,21930,12647,19513,6775,12738,24287,13542,10745,15848,11381,4467,9516,6859,2657,1773,827,946,155,59,96,4404,3636,768,8439,2161,6278,5225,1205,4020,2303,586,1717,140,30,110,771,340,431,6570,1585,4985,3936,807,3129,1895,477,1418,102,21,81,637,280,357,1869,576,1293,1289,398,891,408,109,299,38,9,29,134,60,74,29803,15163,14640,,,,,
08,105,DISTRICT,Bharatpur,Rural,8303,48554,25911,22643,6633,3596,3037,30581,19631,10950,17973,6280,11693,22631,12327,10304,14413,10288,4125,9175,6591,2584,1697,809,888,128,49,79,3413,2839,574,8218,2039,6179,5187,1184,4003,2265,563,1702,127,30,97,639,262,377,6375,1478,4897,3904,790,3114,1870,461,1409,92,21,71,509,206,303,1843,561,1282,1283,394,889,395,102,293,35,9,26,130,56,74,25923,13584,12339,,,,,
08,105,DISTRICT,Bharatpur,Urban,973,5536,2794,2742,602,304,298,3996,2299,1697,1540,495,1045,1656,1215,441,1435,1093,342,341,268,73,76,18,58,27,10,17,991,797,194,221,122,99,38,21,17,38,23,15,13,0,13,132,78,54,195,107,88,32,17,15,25,16,9,10,0,10,128,74,54,26,15,11,6,4,2,13,7,6,3,0,3,4,4,0,3880,1579,2301,,,,,
08,106,DISTRICT,Dhaulpur,Total,9903,58594,31802,26792,10442,5637,4805,32428,21947,10481,26166,9855,16311,26802,15077,11725,16059,11583,4476,11259,7660,3599,610,329,281,134,35,99,4056,3559,497,10743,3494,7249,6922,2304,4618,2151,517,1634,222,30,192,1448,643,805,6700,1578,5122,3753,715,3038,1645,360,1285,174,12,162,1128,491,637,4043,1916,2127,3169,1589,1580,506,157,349,48,18,30,320,152,168,31792,16725,15067,,,,,
08,106,DISTRICT,Dhaulpur,Rural,9386,55842,30288,25554,10075,5434,4641,30615,20795,9820,25227,9493,15734,25983,14463,11520,15410,11032,4378,11118,7527,3591,599,321,278,132,33,99,3561,3151,410,10573,3431,7142,6900,2287,4613,2132,514,1618,221,30,191,1320,600,720,6557,1534,5023,3732,699,3033,1629,360,1269,173,12,161,1023,463,560,4016,1897,2119,3168,1588,1580,503,154,349,48,18,30,297,137,160,29859,15825,14034,,,,,
08,106,DISTRICT,Dhaulpur,Urban,517,2752,1514,1238,367,203,164,1813,1152,661,939,362,577,819,614,205,649,551,98,141,133,8,11,8,3,2,2,0,495,408,87,170,63,107,22,17,5,19,3,16,1,0,1,128,43,85,143,44,99,21,16,5,16,0,16,1,0,1,105,28,77,27,19,8,1,1,0,3,3,0,0,0,0,23,15,8,1933,900,1033,,,,,
08,107,DISTRICT,Karauli,Total,59252,324960,176200,148760,48478,26513,21965,183938,123095,60843,141022,53105,87917,153270,81392,71878,109559,69201,40358,88628,53092,35536,4935,1946,2989,371,238,133,15625,13925,1700,43711,12191,31520,29588,7778,21810,9961,2371,7590,473,135,338,3689,1907,1782,34609,8159,26450,22905,4663,18242,8398,1783,6615,393,114,279,2913,1599,1314,9102,4032,5070,6683,3115,3568,1563,588,975,80,21,59,776,308,468,171690,94808,76882,,,,,
08,107,DISTRICT,Karauli,Rural,57433,314468,170422,144046,47227,25821,21406,176985,118535,58450,137483,51887,85596,149281,78954,70327,106486,66950,39536,87043,51990,35053,4767,1928,2839,363,236,127,14313,12796,1517,42795,12004,30791,29098,7717,21381,9721,2330,7391,459,131,328,3517,1826,1691,33748,7999,25749,22453,4619,17834,8164,1745,6419,380,110,270,2751,1525,1226,9047,4005,5042,6645,3098,3547,1557,585,972,79,21,58,766,301,465,165187,91468,73719,,,,,
08,107,DISTRICT,Karauli,Urban,1819,10492,5778,4714,1251,692,559,6953,4560,2393,3539,1218,2321,3989,2438,1551,3073,2251,822,1585,1102,483,168,18,150,8,2,6,1312,1129,183,916,187,729,490,61,429,240,41,199,14,4,10,172,81,91,861,160,701,452,44,408,234,38,196,13,4,9,162,74,88,55,27,28,38,17,21,6,3,3,1,0,1,10,7,3,6503,3340,3163,,,,,
08,108,DISTRICT,Sawai Madhopur,Total,55420,285848,152745,133103,38829,21254,17575,161250,110172,51078,124598,42573,82025,136535,71520,65015,100230,62373,37857,84067,50183,33884,3622,1334,2288,318,188,130,12223,10668,1555,36305,9147,27158,27098,6240,20858,6717,1649,5068,295,116,179,2195,1142,1053,29250,6219,23031,21630,3922,17708,5510,1218,4292,199,79,120,1911,1000,911,7055,2928,4127,5468,2318,3150,1207,431,776,96,37,59,284,142,142,149313,81225,68088,,,,,
08,108,DISTRICT,Sawai Madhopur,Rural,52713,272573,145421,127152,37607,20504,17103,151184,103850,47334,121389,41571,79818,132840,68510,64330,96942,59573,37369,83797,49996,33801,3570,1293,2277,251,165,86,9324,8119,1205,35898,8937,26961,27012,6205,20807,6683,1629,5054,262,103,159,1941,1000,941,28895,6031,22864,21559,3892,17667,5484,1202,4282,173,67,106,1679,870,809,7003,2906,4097,5453,2313,3140,1199,427,772,89,36,53,262,130,132,139733,76911,62822,,,,,
08,108,DISTRICT,Sawai Madhopur,Urban,2707,13275,7324,5951,1222,750,472,10066,6322,3744,3209,1002,2207,3695,3010,685,3288,2800,488,270,187,83,52,41,11,67,23,44,2899,2549,350,407,210,197,86,35,51,34,20,14,33,13,20,254,142,112,355,188,167,71,30,41,26,16,10,26,12,14,232,130,102,52,22,30,15,5,10,8,4,4,7,1,6,22,12,10,9580,4314,5266,,,,,
08,109,DISTRICT,Dausa,Total,76112,433344,228554,204790,67372,36197,31175,243901,158103,85798,189443,70451,118992,194408,102469,91939,146883,88094,58789,121475,68899,52576,4630,2064,2566,752,325,427,20026,16806,3220,47525,14375,33150,34260,10001,24259,7440,1725,5715,468,185,283,5357,2464,2893,37309,9840,27469,26640,6333,20307,6219,1386,4833,268,104,164,4182,2017,2165,10216,4535,5681,7620,3668,3952,1221,339,882,200,81,119,1175,447,728,238936,126085,112851,,,,,
08,109,DISTRICT,Dausa,Rural,73566,419816,221306,198510,65923,35381,30542,234258,152061,82197,185558,69245,116313,190591,99546,91045,143481,85373,58108,120574,68358,52216,4552,2006,2546,694,297,397,17661,14712,2949,47110,14173,32937,34203,9974,24229,7351,1692,5659,457,182,275,5099,2325,2774,36968,9666,27302,26596,6312,20284,6140,1357,4783,260,102,158,3972,1895,2077,10142,4507,5635,7607,3662,3945,1211,335,876,197,80,117,1127,430,697,229225,121760,107465,,,,,
08,109,DISTRICT,Dausa,Urban,2546,13528,7248,6280,1449,816,633,9643,6042,3601,3885,1206,2679,3817,2923,894,3402,2721,681,901,541,360,78,58,20,58,28,30,2365,2094,271,415,202,213,57,27,30,89,33,56,11,3,8,258,139,119,341,174,167,44,21,23,79,29,50,8,2,6,210,122,88,74,28,46,13,6,7,10,4,6,3,1,2,48,17,31,9711,4325,5386,,,,,
08,110,DISTRICT,Jaipur,Total,88851,527966,276638,251328,80697,43524,37173,306420,195540,110880,221546,81098,140448,208321,124307,84014,160976,108672,52304,87292,47760,39532,6905,3872,3033,1550,941,609,65229,56099,9130,47345,15635,31710,25497,7132,18365,7766,2017,5749,1140,360,780,12942,6126,6816,36808,11170,25638,18705,4025,14680,6710,1697,5013,882,247,635,10511,5201,5310,10537,4465,6072,6792,3107,3685,1056,320,736,258,113,145,2431,925,1506,319645,152331,167314,,,,,
08,110,DISTRICT,Jaipur,Rural,64301,393865,205300,188565,63795,34270,29525,214481,139503,74978,179384,65797,113587,169482,92715,76767,126026,79195,46831,83826,45523,38303,6042,3264,2778,872,490,382,35286,29918,5368,43456,13520,29936,24762,6933,17829,7343,1843,5500,925,274,651,10426,4470,5956,33595,9363,24232,18155,3858,14297,6361,1543,4818,726,195,531,8353,3767,4586,9861,4157,5704,6607,3075,3532,982,300,682,199,79,120,2073,703,1370,224383,112585,111798,,,,,
08,110,DISTRICT,Jaipur,Urban,24550,134101,71338,62763,16902,9254,7648,91939,56037,35902,42162,15301,26861,38839,31592,7247,34950,29477,5473,3466,2237,1229,863,608,255,678,451,227,29943,26181,3762,3889,2115,1774,735,199,536,423,174,249,215,86,129,2516,1656,860,3213,1807,1406,550,167,383,349,154,195,156,52,104,2158,1434,724,676,308,368,185,32,153,74,20,54,59,34,25,358,222,136,95262,39746,55516,,,,,
08,111,DISTRICT,Sikar,Total,13126,75349,39098,36251,11188,6026,5162,44748,27887,16861,30601,11211,19390,28244,17996,10248,17784,13885,3899,8010,5404,2606,1409,1064,345,99,70,29,8266,7347,919,10460,4111,6349,6041,1886,4155,1573,657,916,139,31,108,2707,1537,1170,7364,2867,4497,3680,925,2755,1289,573,716,96,17,79,2299,1352,947,3096,1244,1852,2361,961,1400,284,84,200,43,14,29,408,185,223,47105,21102,26003,,,,,
08,111,DISTRICT,Sikar,Rural,11650,66829,34675,32154,10053,5444,4609,39015,24414,14601,27814,10261,17553,25902,16048,9854,15870,12185,3685,7811,5268,2543,1363,1023,340,75,51,24,6621,5843,778,10032,3863,6169,5941,1848,4093,1521,632,889,122,26,96,2448,1357,1091,7019,2670,4349,3615,910,2705,1248,553,695,80,13,67,2076,1194,882,3013,1193,1820,2326,938,1388,273,79,194,42,13,29,372,163,209,40927,18627,22300,,,,,
08,111,DISTRICT,Sikar,Urban,1476,8520,4423,4097,1135,582,553,5733,3473,2260,2787,950,1837,2342,1948,394,1914,1700,214,199,136,63,46,41,5,24,19,5,1645,1504,141,428,248,180,100,38,62,52,25,27,17,5,12,259,180,79,345,197,148,65,15,50,41,20,21,16,4,12,223,158,65,83,51,32,35,23,12,11,5,6,1,1,0,36,22,14,6178,2475,3703,,,,,
08,112,DISTRICT,Nagaur,Total,2030,10418,5475,4943,1645,882,763,5246,3397,1849,5172,2078,3094,4470,2673,1797,2838,1999,839,1043,613,430,536,330,206,27,18,9,1232,1038,194,1632,674,958,451,168,283,713,297,416,10,3,7,458,206,252,1386,588,798,390,152,238,614,254,360,8,3,5,374,179,195,246,86,160,61,16,45,99,43,56,2,0,2,84,27,57,5948,2802,3146,,,,,
08,112,DISTRICT,Nagaur,Rural,1754,9061,4725,4336,1458,770,688,4411,2882,1529,4650,1843,2807,4081,2335,1746,2478,1682,796,1034,605,429,518,316,202,21,14,7,905,747,158,1603,653,950,451,168,283,710,294,416,9,3,6,433,188,245,1362,569,793,390,152,238,612,252,360,7,3,4,353,162,191,241,84,157,61,16,45,98,42,56,2,0,2,80,26,54,4980,2390,2590,,,,,
08,112,DISTRICT,Nagaur,Urban,276,1357,750,607,187,112,75,835,515,320,522,235,287,389,338,51,360,317,43,9,8,1,18,14,4,6,4,2,327,291,36,29,21,8,0,0,0,3,3,0,1,0,1,25,18,7,24,19,5,0,0,0,2,2,0,1,0,1,21,17,4,5,2,3,0,0,0,1,1,0,0,0,0,4,1,3,968,412,556,,,,,
08,113,DISTRICT,Jodhpur,Total,20444,118924,61969,56955,25927,13508,12419,36620,25426,11194,82304,36543,45761,47057,29244,17813,30248,22529,7719,10401,6625,3776,5878,3706,2172,293,210,83,13676,11988,1688,16809,6715,10094,5006,1773,3233,7433,2735,4698,280,58,222,4090,2149,1941,13288,5431,7857,4087,1467,2620,5952,2223,3729,224,39,185,3025,1702,1323,3521,1284,2237,919,306,613,1481,512,969,56,19,37,1065,447,618,71867,32725,39142,,,,,
08,113,DISTRICT,Jodhpur,Rural,15462,90825,47248,43577,21122,10994,10128,25755,18334,7421,65070,28914,36156,38573,22286,16287,23168,16511,6657,10355,6598,3757,5561,3447,2114,185,132,53,7067,6334,733,15405,5775,9630,4991,1766,3225,7339,2680,4659,237,51,186,2838,1278,1560,12197,4673,7524,4072,1460,2612,5874,2172,3702,188,34,154,2063,1007,1056,3208,1102,2106,919,306,613,1465,508,957,49,17,32,775,271,504,52252,24962,27290,,,,,
08,113,DISTRICT,Jodhpur,Urban,4982,28099,14721,13378,4805,2514,2291,10865,7092,3773,17234,7629,9605,8484,6958,1526,7080,6018,1062,46,27,19,317,259,58,108,78,30,6609,5654,955,1404,940,464,15,7,8,94,55,39,43,7,36,1252,871,381,1091,758,333,15,7,8,78,51,27,36,5,31,962,695,267,313,182,131,0,0,0,16,4,12,7,2,5,290,176,114,19615,7763,11852,,,,,
08,114,DISTRICT,Jaisalmer,Total,7252,42429,22497,19932,10042,5261,4781,13649,9878,3771,28780,12619,16161,17712,10692,7020,10214,7843,2371,3990,2698,1292,1814,1304,510,119,86,33,4291,3755,536,7498,2849,4649,2820,1184,1636,2417,835,1582,97,18,79,2164,812,1352,6288,2458,3830,2458,1065,1393,2075,719,1356,76,12,64,1679,662,1017,1210,391,819,362,119,243,342,116,226,21,6,15,485,150,335,24717,11805,12912,,,,,
08,114,DISTRICT,Jaisalmer,Rural,6282,37273,19758,17515,8868,4660,4208,11708,8545,3163,25565,11213,14352,16218,9498,6720,9086,6822,2264,3972,2686,1286,1543,1055,488,103,79,24,3468,3002,466,7132,2676,4456,2800,1177,1623,2240,789,1451,92,17,75,2000,693,1307,5981,2327,3654,2438,1058,1380,1910,678,1232,72,11,61,1561,580,981,1151,349,802,362,119,243,330,111,219,20,6,14,439,113,326,21055,10260,10795,,,,,
08,114,DISTRICT,Jaisalmer,Urban,970,5156,2739,2417,1174,601,573,1941,1333,608,3215,1406,1809,1494,1194,300,1128,1021,107,18,12,6,271,249,22,16,7,9,823,753,70,366,173,193,20,7,13,177,46,131,5,1,4,164,119,45,307,131,176,20,7,13,165,41,124,4,1,3,118,82,36,59,42,17,0,0,0,12,5,7,1,0,1,46,37,9,3662,1545,2117,,,,,
08,115,DISTRICT,Barmer,Total,30837,176257,92610,83647,40679,21070,19609,51614,37932,13682,124643,54678,69965,82205,46054,36151,45546,31409,14137,27390,18085,9305,8233,5171,3062,222,158,64,9701,7995,1706,36659,14645,22014,19284,7254,12030,11042,4445,6597,353,130,223,5980,2816,3164,30877,12543,18334,16477,6197,10280,9419,3902,5517,269,107,162,4712,2337,2375,5782,2102,3680,2807,1057,1750,1623,543,1080,84,23,61,1268,479,789,94052,46556,47496,,,,,
08,115,DISTRICT,Barmer,Rural,30050,172185,90489,81696,39910,20684,19226,50144,36907,13237,122041,53582,68459,81023,45048,35975,44532,30526,14006,27386,18082,9304,8216,5155,3061,192,137,55,8738,7152,1586,36491,14522,21969,19280,7253,12027,11032,4440,6592,353,130,223,5826,2699,3127,30744,12441,18303,16474,6197,10277,9411,3897,5514,269,107,162,4590,2240,2350,5747,2081,3666,2806,1056,1750,1621,543,1078,84,23,61,1236,459,777,91162,45441,45721,,,,,
08,115,DISTRICT,Barmer,Urban,787,4072,2121,1951,769,386,383,1470,1025,445,2602,1096,1506,1182,1006,176,1014,883,131,4,3,1,17,16,1,30,21,9,963,843,120,168,123,45,4,1,3,10,5,5,0,0,0,154,117,37,133,102,31,3,0,3,8,5,3,0,0,0,122,97,25,35,21,14,1,1,0,2,0,2,0,0,0,32,20,12,2890,1115,1775,,,,,
08,116,DISTRICT,Jalor,Total,31698,178719,93290,85429,37291,19530,17761,47245,34598,12647,131474,58692,72782,89708,48768,40940,63974,40433,23541,28843,17646,11197,22633,13409,9224,245,124,121,12253,9254,2999,25734,8335,17399,6155,1772,4383,12493,3976,8517,327,119,208,6759,2468,4291,21519,6722,14797,4924,1241,3683,11011,3429,7582,261,95,166,5323,1957,3366,4215,1613,2602,1231,531,700,1482,547,935,66,24,42,1436,511,925,89011,44522,44489,,,,,
08,116,DISTRICT,Jalor,Rural,30127,170111,88807,81304,35640,18665,16975,44855,32933,11922,125256,55874,69382,86681,46636,40045,61484,38492,22992,28724,17550,11174,22391,13282,9109,219,107,112,10150,7553,2597,25197,8144,17053,6152,1771,4381,12413,3951,8462,296,115,181,6336,2307,4029,21078,6557,14521,4921,1240,3681,10941,3407,7534,244,93,151,4972,1817,3155,4119,1587,2532,1231,531,700,1472,544,928,52,22,30,1364,490,874,83430,42171,41259,,,,,
08,116,DISTRICT,Jalor,Urban,1571,8608,4483,4125,1651,865,786,2390,1665,725,6218,2818,3400,3027,2132,895,2490,1941,549,119,96,23,242,127,115,26,17,9,2103,1701,402,537,191,346,3,1,2,80,25,55,31,4,27,423,161,262,441,165,276,3,1,2,70,22,48,17,2,15,351,140,211,96,26,70,0,0,0,10,3,7,14,2,12,72,21,51,5581,2351,3230,,,,,
08,117,DISTRICT,Sirohi,Total,53538,292470,148966,143504,66059,33875,32184,74524,54275,20249,217946,94691,123255,131106,73349,57757,82724,58645,24079,34448,25829,8619,25546,13992,11554,367,261,106,22363,18563,3800,48382,14704,33678,11326,2962,8364,22061,5678,16383,419,121,298,14576,5943,8633,38710,12019,26691,9425,2456,6969,18828,4889,13939,292,91,201,10165,4583,5582,9672,2685,6987,1901,506,1395,3233,789,2444,127,30,97,4411,1360,3051,161364,75617,85747,,,,,
08,117,DISTRICT,Sirohi,Rural,49438,272916,138714,134202,63015,32225,30790,64811,47915,16896,208105,90799,117306,124528,68254,56274,77481,54328,23153,34282,25701,8581,25032,13655,11377,322,233,89,17845,14739,3106,47047,13926,33121,11298,2954,8344,21814,5587,16227,403,112,291,13532,5273,8259,37579,11341,26238,9401,2449,6952,18629,4813,13816,282,85,197,9267,3994,5273,9468,2585,6883,1897,505,1392,3185,774,2411,121,27,94,4265,1279,2986,148388,70460,77928,,,,,
08,117,DISTRICT,Sirohi,Urban,4100,19554,10252,9302,3044,1650,1394,9713,6360,3353,9841,3892,5949,6578,5095,1483,5243,4317,926,166,128,38,514,337,177,45,28,17,4518,3824,694,1335,778,557,28,8,20,247,91,156,16,9,7,1044,670,374,1131,678,453,24,7,17,199,76,123,10,6,4,898,589,309,204,100,104,4,1,3,48,15,33,6,3,3,146,81,65,12976,5157,7819,,,,,
08,118,DISTRICT,Pali,Total,28243,144578,74369,70209,28388,14721,13667,47655,32887,14768,96923,41482,55441,65388,37203,28185,40499,28089,12410,13980,10355,3625,15507,8830,6677,265,194,71,10747,8710,2037,24889,9114,15775,5421,2072,3349,13615,4716,8899,363,166,197,5490,2160,3330,20696,7744,12952,4504,1686,2818,11602,4109,7493,288,143,145,4302,1806,2496,4193,1370,2823,917,386,531,2013,607,1406,75,23,52,1188,354,834,79190,37166,42024,,,,,
08,118,DISTRICT,Pali,Rural,25614,131456,67467,63989,26161,13554,12607,42337,29298,13039,89119,38169,50950,60644,33732,26912,36664,24982,11682,13484,10035,3449,15056,8494,6562,247,182,65,7877,6271,1606,23980,8750,15230,5360,2059,3301,13385,4645,8740,351,160,191,4884,1886,2998,19933,7431,12502,4448,1675,2773,11391,4039,7352,277,137,140,3817,1580,2237,4047,1319,2728,912,384,528,1994,606,1388,74,23,51,1067,306,761,70812,33735,37077,,,,,
08,118,DISTRICT,Pali,Urban,2629,13122,6902,6220,2227,1167,1060,5318,3589,1729,7804,3313,4491,4744,3471,1273,3835,3107,728,496,320,176,451,336,115,18,12,6,2870,2439,431,909,364,545,61,13,48,230,71,159,12,6,6,606,274,332,763,313,450,56,11,45,211,70,141,11,6,5,485,226,259,146,51,95,5,2,3,19,1,18,1,0,1,121,48,73,8378,3431,4947,,,,,
